
1,24.05626,-16.57209,90
2,22.23868,-28.97443,90
3,23.73552,-36.77936,90
2,17.42743,-30.6851,90
1,-2.352168,-18.28276,90
1,-12.08159,-14.75451,90
2,2.672918,-28.97443,90
2,-16.99976,-20.52801,90
3,18.4966,-38.70386,90
2,-6.842671,-25.01851,90
2,-11.86776,-22.9871,90
2,7.804922,-30.47127,90
3,-9.408672,-31.43352,90
2,26.94302,-25.23235,90
3,-13.79226,-29.29519,90
1,-6.628838,-16.46518,90
1,8.018755,-20.52801,90
1,13.47151,-20.63493,90
1,19.1381,-19.45885,90
3,7.698005,-38.81078,90
2,-2.031418,-27.37068,90
3,-1.069167,-35.49636,90
2,12.61617,-30.6851,90
1,27.58452,-12.83001,90
3,13.25768,-39.23844,90
3,-5.452754,-33.57185,90
3,3.314419,-37.10011,90
1,2.779835,-19.56576,90
